Pair,Regime
ABG.JO-ADH.JO,Trend Following
ABG.JO-AEL.JO,Trend Following
ABG.JO-AFH.JO,Trend Following
ABG.JO-APN.JO,Trend Following
ABG.JO-ATT.JO,Trend Following
ABG.JO-BAW.JO,Trend Following
ABG.JO-BHG.JO,Trend Following
ABG.JO-BYI.JO,Trend Following
ABG.JO-DSY.JO,Trend Following
ABG.JO-EQU.JO,Trend Following
ABG.JO-FFB.JO,Trend Following
ABG.JO-FTB.JO,Trend Following
ABG.JO-GLN.JO,Trend Following
ABG.JO-HYP.JO,Trend Following
ADH.JO-AEL.JO,Trend Following
ADH.JO-AFH.JO,Trend Following
ADH.JO-AHR.JO,Trend Following
ADH.JO-AIP.JO,Trend Following
ADH.JO-ANH.JO,Trend Following
ADH.JO-APN.JO,Trend Following
ADH.JO-ARI.JO,Trend Following
ADH.JO-ARL.JO,Trend Following
ADH.JO-ATT.JO,Trend Following
ADH.JO-BAW.JO,Trend Following
ADH.JO-BHG.JO,Trend Following
ADH.JO-BOX.JO,Trend Following
ADH.JO-BTI.JO,Trend Following
ADH.JO-BTN.JO,Trend Following
ADH.JO-BYI.JO,Trend Following
ADH.JO-CLS.JO,Trend Following
ADH.JO-CML.JO,Trend Following
ADH.JO-CPI.JO,Trend Following
ADH.JO-DSY.JO,Trend Following
ADH.JO-EMI.JO,Trend Following
ADH.JO-EQU.JO,Trend Following
ADH.JO-EXX.JO,Trend Following
ADH.JO-FBR.JO,Trend Following
ADH.JO-FFB.JO,Trend Following
ADH.JO-FSR.JO,Trend Following
ADH.JO-FTB.JO,Trend Following
ADH.JO-GLN.JO,Trend Following
ADH.JO-GRT.JO,Trend Following
ADH.JO-HDC.JO,Trend Following
ADH.JO-HYP.JO,Trend Following
AEL.JO-AFH.JO,Trend Following
AEL.JO-BHG.JO,Trend Following
AEL.JO-DSY.JO,Trend Following
AEL.JO-HDC.JO,Trend Following
AFE.JO-ANH.JO,Trend Following
AFH.JO-APN.JO,Trend Following
AFH.JO-ATT.JO,Trend Following
AFH.JO-BAW.JO,Trend Following
AFH.JO-BHG.JO,Trend Following
AFH.JO-BID.JO,Trend Following
AFH.JO-CPI.JO,Trend Following
AFH.JO-DSY.JO,Trend Following
AFH.JO-DTC.JO,Trend Following
AFH.JO-GLN.JO,Trend Following
AFT.JO-ANG.JO,Trend Following
AGL.JO-BAW.JO,Trend Following
AGL.JO-EMI.JO,Trend Following
AHR.JO-AIP.JO,Trend Following
AHR.JO-ANG.JO,Trend Following
AHR.JO-ANH.JO,Trend Following
AHR.JO-APN.JO,Trend Following
AHR.JO-ARI.JO,Trend Following
AHR.JO-ARL.JO,Trend Following
AHR.JO-ATT.JO,Trend Following
AHR.JO-AVI.JO,Trend Following
AHR.JO-BHG.JO,Trend Following
AHR.JO-BID.JO,Trend Following
AHR.JO-BLU.JO,Trend Following
AHR.JO-BOX.JO,Trend Following
AHR.JO-BTI.JO,Trend Following
AHR.JO-BTN.JO,Trend Following
AHR.JO-BVT.JO,Trend Following
AHR.JO-BYI.JO,Trend Following
AHR.JO-CFR.JO,Trend Following
AHR.JO-CLS.JO,Trend Following
AHR.JO-CML.JO,Trend Following
AHR.JO-COH.JO,Trend Following
AHR.JO-CPI.JO,Trend Following
AHR.JO-CSB.JO,Trend Following
