Pair,Regime
JSE.JO-KIO.JO,Trend Following
JSE.JO-KRO.JO,Trend Following
JSE.JO-MTM.JO,Trend Following
JSE.JO-QLT.JO,Trend Following
JSE.JO-RES.JO,Trend Following
KAP.JO-MTN.JO,Trend Following
KAP.JO-NPH.JO,Trend Following
KAP.JO-RLO.JO,Trend Following
KIO.JO-KRO.JO,Trend Following
KIO.JO-KST.JO,Trend Following
KIO.JO-LTE.JO,Trend Following
KIO.JO-MSP.JO,Trend Following
KIO.JO-MTM.JO,Trend Following
KIO.JO-MTN.JO,Trend Following
KIO.JO-NTC.JO,Trend Following
KIO.JO-OMN.JO,Trend Following
KIO.JO-OUT.JO,Trend Following
KIO.JO-PMR.JO,Trend Following
KIO.JO-PPC.JO,Trend Following
KIO.JO-PPH.JO,Trend Following
KIO.JO-QLT.JO,Trend Following
KIO.JO-RDF.JO,Trend Following
KIO.JO-REM.JO,Trend Following
KIO.JO-RES.JO,Trend Following
KRO.JO-KST.JO,Trend Following
KRO.JO-MNP.JO,Trend Following
KRO.JO-MSP.JO,Trend Following
KRO.JO-MTM.JO,Trend Following
KRO.JO-NPN.JO,Trend Following
KRO.JO-OCE.JO,Trend Following
KRO.JO-OMN.JO,Trend Following
KRO.JO-OUT.JO,Trend Following
KRO.JO-PMR.JO,Trend Following
KRO.JO-PPC.JO,Trend Following
KRO.JO-PPH.JO,Trend Following
KRO.JO-QLT.JO,Trend Following
KRO.JO-RES.JO,Trend Following
KST.JO-NPN.JO,Trend Following
KST.JO-PPC.JO,Trend Following
LTE.JO-MCG.JO,Trend Following
LTE.JO-MKR.JO,Trend Following
LTE.JO-MNP.JO,Trend Following
LTE.JO-MRP.JO,Trend Following
LTE.JO-MSP.JO,Trend Following
LTE.JO-MTH.JO,Trend Following
LTE.JO-MTM.JO,Trend Following
LTE.JO-MTN.JO,Trend Following
LTE.JO-N91.JO,Trend Following
LTE.JO-NED.JO,Trend Following
LTE.JO-NPH.JO,Trend Following
LTE.JO-NPN.JO,Trend Following
LTE.JO-NRP.JO,Trend Following
LTE.JO-NTC.JO,Trend Following
LTE.JO-NY1.JO,Trend Following
LTE.JO-OCE.JO,Trend Following
LTE.JO-OMN.JO,Trend Following
LTE.JO-OMU.JO,Trend Following
LTE.JO-OUT.JO,Trend Following
LTE.JO-PAN.JO,Trend Following
LTE.JO-PHP.JO,Trend Following
LTE.JO-PIK.JO,Trend Following
LTE.JO-PMR.JO,Trend Following
LTE.JO-PPC.JO,Trend Following
LTE.JO-PPH.JO,Trend Following
LTE.JO-PRX.JO,Trend Following
LTE.JO-QLT.JO,Trend Following
LTE.JO-RBX.JO,Trend Following
LTE.JO-RCL.JO,Trend Following
LTE.JO-RDF.JO,Trend Following
LTE.JO-REM.JO,Trend Following
LTE.JO-RES.JO,Trend Following
LTE.JO-RLO.JO,Trend Following
LTE.JO-RNI.JO,Trend Following
LTE.JO-S32.JO,Trend Following
MCG.JO-MKR.JO,Trend Following
MCG.JO-MSP.JO,Trend Following
MCG.JO-MTM.JO,Trend Following
MCG.JO-MTN.JO,Trend Following
MCG.JO-N91.JO,Trend Following
MCG.JO-NPH.JO,Trend Following
MCG.JO-NPN.JO,Trend Following
MCG.JO-NY1.JO,Trend Following
MCG.JO-OCE.JO,Trend Following
MCG.JO-OMN.JO,Trend Following
MCG.JO-PAN.JO,Trend Following
MCG.JO-PPC.JO,Trend Following
MCG.JO-PRX.JO,Trend Following
MCG.JO-RDF.JO,Trend Following
MCG.JO-RLO.JO,Trend Following
MCG.JO-RNI.JO,Trend Following
MCG.JO-S32.JO,Trend Following
MKR.JO-MTN.JO,Trend Following
MKR.JO-NPN.JO,Trend Following
MKR.JO-OCE.JO,Trend Following
MKR.JO-OMN.JO,Trend Following
MKR.JO-PPC.JO,Trend Following
MKR.JO-PRX.JO,Trend Following
MKR.JO-REM.JO,Trend Following
MKR.JO-RLO.JO,Trend Following
MKR.JO-RNI.JO,Trend Following
MKR.JO-S32.JO,Trend Following
MNP.JO-MSP.JO,Trend Following
MNP.JO-MTM.JO,Trend Following
MNP.JO-MTN.JO,Trend Following
MNP.JO-NPN.JO,Trend Following
MNP.JO-OCE.JO,Trend Following
